P(bar),log10[Keq]
1000,-1.823767
1100,-1.761905
1200,-1.70714
1300,-1.657992
1400,-1.613408
1500,-1.57261
1600,-1.535005
1700,-1.500135
1800,-1.467632
1900,-1.4372
2000,-1.408597
2100,-1.38162
2200,-1.356099
2300,-1.33189
2400,-1.30887
2500,-1.286932
2600,-1.265982
2700,-1.24594
2800,-1.226734
2900,-1.2083
3000,-1.190583
3100,-1.173531
3200,-1.157099
3300,-1.141247
3400,-1.125937
3500,-1.111136
3600,-1.096813
3700,-1.082941
3800,-1.069494
3900,-1.056448
4000,-1.043782
4100,-1.031476
4200,-1.019512
4300,-1.007872
4400,-0.9965408
4500,-0.9855034
4600,-0.974746
4700,-0.9642559
4800,-0.954021
4900,-0.9440301
5000,-0.9342727
5100,-0.9247389
5200,-0.9154193
5300,-0.9063053
5400,-0.8973884
5500,-0.8886609
5600,-0.8801155
5700,-0.8717451
5800,-0.8635431
5900,-0.8555033
6000,-0.8476197
6100,-0.8398866
6200,-0.8322987
6300,-0.8248508
6400,-0.8175381
6500,-0.810356
6600,-0.8032998
6700,-0.7963656
6800,-0.7895491
6900,-0.7828465
7000,-0.7762541
7100,-0.7697683
7200,-0.7633858
7300,-0.7571031
7400,-0.7509173
7500,-0.7448253
7600,-0.7388241
7700,-0.732911
7800,-0.7270832
7900,-0.7213383
8000,-0.7156737
8100,-0.7100871
8200,-0.7045762
8300,-0.6991388
8400,-0.6937729
8500,-0.6884765
8600,-0.6832477
8700,-0.6780846
8800,-0.6729854
8900,-0.6679484
9000,-0.6629721
9100,-0.6580547
9200,-0.6531949
9300,-0.6483911
9400,-0.643642
9500,-0.6389461
9600,-0.6343022
9700,-0.6297089
9800,-0.6251651
9900,-0.6206696
10000,-0.6162213
10100,-0.611819
10200,-0.6074616
10300,-0.6031482
10400,-0.5988778
10500,-0.5946493
10600,-0.5904619
10700,-0.5863146
10800,-0.5822066
10900,-0.578137
11000,-0.574105
11100,-0.5701098
11200,-0.5661506
11300,-0.5622267
11400,-0.5583373
11500,-0.5544818
11600,-0.5506594
11700,-0.5468695
11800,-0.5431114
11900,-0.5393846
12000,-0.5356883
12100,-0.532022
12200,-0.5283852
12300,-0.5247772
12400,-0.5211975
12500,-0.5176456
12600,-0.514121
12700,-0.5106231
12800,-0.5071515
12900,-0.5037056
13000,-0.5002852
13100,-0.4968895
13200,-0.4935183
13300,-0.4901711
13400,-0.4868475
13500,-0.4835471
13600,-0.4802694
13700,-0.4770141
13800,-0.4737808
13900,-0.4705692
14000,-0.4673788
14100,-0.4642093
14200,-0.4610604
14300,-0.4579317
14400,-0.4548229
14500,-0.4517337
14600,-0.4486638
14700,-0.4456128
14800,-0.4425805
14900,-0.4395666
15000,-0.4365707
15100,-0.4335927
15200,-0.4306321
15300,-0.4276889
15400,-0.4247626
15500,-0.4218531
15600,-0.4189601
15700,-0.4160833
15800,-0.4132226
15900,-0.4103776
16000,-0.4075481
16100,-0.404734
16200,-0.4019349
16300,-0.3991508
16400,-0.3963813
16500,-0.3936262
16600,-0.3908854
16700,-0.3881587
16800,-0.3854459
16900,-0.3827467
17000,-0.380061
17100,-0.3773886
17200,-0.3747293
17300,-0.3720829
17400,-0.3694493
17500,-0.3668284
17600,-0.3642198
17700,-0.3616236
17800,-0.3590394
17900,-0.3564672
18000,-0.3539068
18100,-0.351358
18200,-0.3488207
18300,-0.3462948
18400,-0.34378
18500,-0.3412764
18600,-0.3387837
18700,-0.3363017
18800,-0.3338304
18900,-0.3313697
19000,-0.3289193
19100,-0.3264792
19200,-0.3240492
19300,-0.3216293
19400,-0.3192193
19500,-0.3168191
19600,-0.3144285
19700,-0.3120475
19800,-0.3096759
19900,-0.3073137
20000,-0.3049606
20100,-0.3026167
20200,-0.3002819
20300,-0.2979559
20400,-0.2956387
20500,-0.2933302
20600,-0.2910304
20700,-0.2887391
20800,-0.2864561
20900,-0.2841815
21000,-0.2819152
21100,-0.279657
21200,-0.2774068
21300,-0.2751646
21400,-0.2729303
21500,-0.2707037
21600,-0.2684849
21700,-0.2662737
21800,-0.2640701
21900,-0.2618739
22000,-0.2596851
22100,-0.2575036
22200,-0.2553294
22300,-0.2531623
22400,-0.2510023
22500,-0.2488493
22600,-0.2467032
22700,-0.244564
22800,-0.2424316
22900,-0.240306
23000,-0.238187
23100,-0.2360746
23200,-0.2339687
23300,-0.2318693
23400,-0.2297763
23500,-0.2276897
23600,-0.2256093
23700,-0.2235351
23800,-0.2214671
23900,-0.2194051
24000,-0.2173492
24100,-0.2152993
24200,-0.2132553
24300,-0.2112172
24400,-0.2091849
24500,-0.2071583
24600,-0.2051374
24700,-0.2031222
24800,-0.2011126
24900,-0.1991085
25000,-0.1971099